,accuracy,precision,recall,f1_score,roc_auc
Logistic_Regression,0.8858695652173914,0.4588235294117647,0.017249004865103935,0.03324808184143223,0.655388123767987
Decision_Tree,0.8687097423510467,0.2202572347266881,0.06059265811587793,0.09503988900450919,0.5747295520212216
Random_Forest,0.6491545893719807,0.18095625084653935,0.5908889871738169,0.2770634591455827,0.6700284398162852
XGBoost,0.885366344605475,0.44785276073619634,0.03228659885006634,0.06023102310231023,0.6481333750861503
Gradient_Boosting,0.8846115136876006,0.35454545454545455,0.017249004865103935,0.03289751159848165,0.6741002938058571
SVM,0.8855676328502415,0.4368932038834951,0.019902697921273773,0.03807106598984772,0.6573062787870484
KNN,0.8756038647342995,0.24455205811138014,0.04467049977885891,0.07554225878833208,0.5624119143098187
